Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020-02-29,6.0,CA,6083.0,Santa Barbara County,0.21763777405632231,0.7823622259436777,1747645.0,0.39053761903911094,0.3713574197407318,0.30866838391757195,0.2962723248517742,153181.0,98203.0,40978.0,15130.0,819.0,527.0,06-06083-20200229,8,2
County,2020-03-01,6.0,CA,6083.0,Santa Barbara County,0.29640430405574486,0.7035956959442552,1412706.0,0.2811577417330812,0.2654588955220447,0.2230731324896405,0.18975506671137485,123600.0,76850.0,34258.0,12811.0,911.0,799.0,06-06083-20200301,9,3
County,2020-03-02,6.0,CA,6083.0,Santa Barbara County,0.2546245500567843,0.7453754499432157,1540360.0,0.33310876924515986,0.3005383208530315,0.2603247844103483,0.2548002817655575,132878.0,79745.0,32137.0,9010.0,773.0,758.0,06-06083-20200302,9,3
County,2020-03-03,6.0,CA,6083.0,Santa Barbara County,0.1777925352736232,0.8222074647263767,1548818.0,0.3461790297780389,0.2790146887976351,0.24727741068428716,0.2676356906505301,134547.0,85942.0,37053.0,10782.0,2066.0,532.0,06-06083-20200303,9,3
County,2020-03-04,6.0,CA,6083.0,Santa Barbara County,0.22208427171758002,0.77791572828242,1566199.0,0.34920801746344876,0.2859484454259981,0.25361406652480684,0.24688797219774536,142803.0,90248.0,38121.0,10873.0,1828.0,673.0,06-06083-20200304,9,3
County,2020-03-05,6.0,CA,6083.0,Santa Barbara County,0.1637504571615561,0.8362495428384439,1538603.0,0.35184708341697557,0.2844427573990361,0.21723149288834137,0.2583821354398168,128617.0,86811.0,37526.0,11781.0,2451.0,383.0,06-06083-20200305,9,3
County,2020-03-06,6.0,CA,6083.0,Santa Barbara County,0.17625262266366384,0.8237473773363362,1647475.0,0.41240476608374593,0.29260268930374866,0.2638974129241796,0.28095197248886844,141254.0,88560.0,37615.0,12333.0,2021.0,428.0,06-06083-20200306,9,3
County,2020-03-07,6.0,CA,6083.0,Santa Barbara County,0.23627071663683086,0.7637292833631691,1662432.0,0.4388090886446594,0.30209577050047737,0.19133609586739836,0.24772495106792786,142621.0,92424.0,50838.0,20466.0,2060.0,561.0,06-06083-20200307,9,3
County,2020-03-08,6.0,CA,6083.0,Santa Barbara County,0.34188947277242016,0.6581105272275798,1378164.0,0.31408983754662506,0.22547937011859162,0.1650218389517303,0.17977890241398223,118822.0,76470.0,35010.0,14995.0,2046.0,522.0,06-06083-20200308,10,3
County,2020-03-09,6.0,CA,6083.0,Santa Barbara County,0.25945602587053185,0.7405439741294682,1510904.0,0.36161614675350745,0.2732702991821664,0.20852055101355135,0.23513907625605315,126803.0,81742.0,32426.0,9759.0,1799.0,590.0,06-06083-20200309,10,3
County,2020-03-10,6.0,CA,6083.0,Santa Barbara County,0.2743161825566399,0.7256838174433601,1461485.0,0.34169335335842427,0.2615296133982079,0.21956322096539366,0.1897524673981134,127198.0,72958.0,33794.0,8874.0,2060.0,510.0,06-06083-20200310,10,3
